"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"327",13,"New Orleans Saints",NO,"DST21","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-76"
"328",13,"Calvin Austin III",NYG,"WR116","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+42"
"329",13,"Kareem Hunt",FA,"RB99","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","+44"
"330",13,"Bam Knight",ARI,"RB100","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"331",13,"Darnell Washington",PIT,"TE40","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-44"
"332",13,"Will Shipley",PHI,"RB101","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+7"
"333",13,"Luke McCaffrey",WAS,"WR117","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-57"
"334",13,"Jahan Dotson",ATL,"WR118","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-22"
"335",13,"Mac Jones",SF,"QB37","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","+59"
"336",13,"Tyler Higbee",LAR,"TE41","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+62"
"337",13,"Noah Gray",KC,"TE42","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+67"
"338",14,"Olamide Zaccheaus",ATL,"WR119","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+64"
"339",14,"Ty Simpson",LAR,"QB38","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+52"
"340",14,"J'Mari Taylor",JAC,"RB102","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"341",14,"Jalen Tolbert",MIA,"WR120","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-10"
"342",14,"Carolina Panthers",CAR,"DST22","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-79"
"343",14,"Caleb Douglas",MIA,"WR121","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-15"
"344",14,"Joshua Palmer",BUF,"WR122","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+12"
"345",14,"Dont'e Thornton Jr.",LV,"WR123","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"346",14,"Elijah Arroyo",SEA,"TE43","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+66"
